generation;Final Drive;Roll Radius;Gear 3;Gear 4;Gear 5;Consumption;Elasticity 3;Elasticity 4;Elasticity 5
0;1.5690293474575492;0.2566415050917073;1.974057789026803;0.921010136780148;0.6835894874067268;1.092945;26.32;120.88;212.9
0;4.069029347457549;0.3121970606472628;1.5017713055885449;1.3495815653515764;1.0740577890268022;1.582032;10.0;12.39;19.57
0;3.1315293474575494;0.4121970606472629;1.674057789026803;1.1352958510658624;0.9563167601339995;1.216769;23.71;51.49;72.56
0;5.631529347457549;0.21219706064726285;1.7744985783158178;1.3740577890268029;0.5230509531066786;2.488295;2.34;3.08;19.9
0;1.8815293474575492;0.37886372731392953;1.5944795245352499;1.2290440328612724;0.7740577890268023;1.058871;61.08;102.83;243.11
0;4.381529347457549;0.4788637273139295;1.914057789026803;1.9108622146794543;1.808765238820964;1.529742;12.5;12.54;14.0
0;2.5065293474575494;0.2788637273139295;1.3801938102495357;1.0140577890268023;0.819953123770363;1.24232;24.92;46.12;70.51
0;5.006529347457549;0.34553039398059615;1.6381349419521813;1.6140577890268029;0.7373366673923929;1.6272;6.76;6.97;33.58
0;1.2565293474575492;0.44553039398059613;1.3654076692249086;1.3140577890268028;1.1659080959638215;1.134188;242.47;256.62;300.68
0;3.7565293474575494;0.24553039398059617;0.9516223816781072;0.7140577890268024;0.5472258510430904;1.427844;18.09;32.12;54.65
1;1.4794630409848657;0.23550934544708255;1.9484417904788294;1.0725082340764416;0.6620694726984979;1.098317;25.59;84.38;214.61
1;3.208350824592848;0.4081780596120693;1.6960306555170346;0.9685218219320872;0.9223980002829439;1.218099;21.58;66.09;72.86
1;3.8302329617124222;0.31574520537684847;1.40779560248758;1.3913124231575638;1.1414467813500702;1.53498;13.15;13.46;20.0
1;2.199495656105409;0.27011234997221173;1.3714769946016014;0.9474417291165379;0.8556558186951607;1.195177;30.74;64.35;78.89
1;3.2247316769916905;0.41169844074985956;1.521056351753535;0.9792500603952867;0.9618255107305194;1.207023;27.01;65.1;67.48
1;3.8364256664455576;0.3477405315208737;1.4224106467587754;1.4170753509137466;1.1650123996311152;1.471261;15.57;15.69;23.21
1;3.6853209006924668;0.23936699055415678;1.0468847754198403;0.9102268720071964;0.6748900230836288;1.504074;14.76;19.53;35.5
1;1.7050617331270426;0.38503613411032134;1.0591649723702927;0.8023752365857397;0.5742305829156594;1.106912;173.61;272.23;392.31
