generation,final_drive,roll_radius,gear_3,gear_4,gear_5,consumption,elasticity_3,elasticity_4,elasticity_5,experiment_id
0,5.006529347457549,0.34553039398059615,1.6381349419521813,1.6140577890268029,0.7373366673923929,1.6272,6.76,6.97,33.58,0
0,1.2565293474575492,0.44553039398059613,1.3654076692249086,1.3140577890268028,1.1659080959638215,1.134188,242.47,256.62,300.68,0
0,3.7565293474575494,0.24553039398059617,0.9516223816781072,0.7140577890268024,0.5472258510430904,1.427844,18.09,32.12,54.65,0
1,1.3538413457637963,0.34374175931993445,1.720521603449558,1.5614417922377322,0.859136085344543,1.060781,83.41,101.29,290.26,0
1,1.2565293474575492,0.44553039398059613,1.3654076692249086,1.3140577890268028,1.1659080959638215,1.134188,242.47,256.62,300.68,0
1,5.006529347457549,0.34553039398059615,1.6381349419521813,1.6140577890268029,0.7373366673923929,1.6272,6.76,6.97,33.58,0
1,5.006529347457549,0.34553039398059615,1.6381349419521813,1.6140577890268029,0.7373366673923929,1.6272,6.76,6.97,33.58,0
0,5.006529347457549,0.34553039398059615,1.6381349419521813,1.6140577890268029,0.7373366673923929,1.6272,6.76,6.97,33.58,1
0,1.2565293474575492,0.44553039398059613,1.3654076692249086,1.3140577890268028,1.1659080959638215,1.134188,242.47,256.62,300.68,1
0,3.7565293474575494,0.24553039398059617,0.9516223816781072,0.7140577890268024,0.5472258510430904,1.427844,18.09,32.12,54.65,1
1,5.199268200664561,0.35562980596850335,1.7667523403322463,1.618398795023453,0.7154112445232474,1.646704,5.63,6.8,35.04,1
1,1.2565293474575492,0.44553039398059613,1.3654076692249086,1.3140577890268028,1.1659080959638215,1.134188,242.47,256.62,300.68,1
1,5.006529347457549,0.34553039398059615,1.6381349419521813,1.6140577890268029,0.7373366673923929,1.6272,6.76,6.97,33.58,1
1,5.006529347457549,0.34553039398059615,1.6381349419521813,1.6140577890268029,0.7373366673923929,1.6272,6.76,6.97,33.58,1
0,5.006529347457549,0.34553039398059615,1.6381349419521813,1.6140577890268029,0.7373366673923929,1.6272,6.76,6.97,33.58,2
0,1.2565293474575492,0.44553039398059613,1.3654076692249086,1.3140577890268028,1.1659080959638215,1.134188,242.47,256.62,300.68,2
0,3.7565293474575494,0.24553039398059617,0.9516223816781072,0.7140577890268024,0.5472258510430904,1.427844,18.09,32.12,54.65,2
1,5.124953396543109,0.33591447796966356,1.648699767155332,1.3469057761640602,1.2389023620807502,1.800369,5.96,9.08,10.73,2
1,1.2565293474575492,0.44553039398059613,1.3654076692249086,1.3140577890268028,1.1659080959638215,1.134188,242.47,256.62,300.68,2
1,5.006529347457549,0.34553039398059615,1.6381349419521813,1.6140577890268029,0.7373366673923929,1.6272,6.76,6.97,33.58,2
1,5.006529347457549,0.34553039398059615,1.6381349419521813,1.6140577890268029,0.7373366673923929,1.6272,6.76,6.97,33.58,2
0,3.683108899421876,0.20506301744498084,1.7911643436461577,0.575,0.5168972170493752,1.660218,3.72,35.94,44.46,3
0,1.183108899421876,0.3828407952227586,1.7441699443221024,1.1911643436461576,1.1744170221079826,1.116893,131.95,259.12,264.37,3
0,5.870608899421876,0.4828407952227586,1.602988450679411,1.4714426715948297,0.5911643436461576,1.435747,10.09,11.98,74.13,3
0,3.370608899421876,0.28284079522275857,1.8478864098630845,1.4911643436461577,0.6532608534130115,1.45971,7.9,12.14,63.2,3
0,4.620608899421876,0.3495074618894253,1.8805335806857388,0.9907435527202273,0.8911643436461576,1.553193,6.11,22.35,27.62,3
0,2.120608899421876,0.44950746188942525,1.8511643436461576,1.607806307958466,1.419314981291656,1.151161,50.23,66.57,85.43,3
0,5.245608899421876,0.24950746188942527,1.2511643436461577,0.9259881261402843,0.7764578384345131,1.937658,5.42,10.11,14.39,3
0,2.745608899421876,0.31617412855609195,1.3350790352311932,0.6511643436461576,0.5621721241487988,1.147719,28.52,119.86,160.82,3
0,3.995608899421876,0.4161741285560919,1.5511643436461577,1.2050292670059415,1.0623517625039207,1.348506,17.29,28.64,36.84,3
0,1.495608899421876,0.21617412855609194,1.63360069557737,1.1987153988675572,0.9511643436461577,1.178653,30.01,55.69,88.45,3
1,5.132102960685139,0.33559103658900086,1.817206931691402,1.1583850161745144,0.9150486705504031,1.701698,4.85,12.22,19.58,3
1,3.8375199458408624,0.4193068345032242,1.5594315786828052,1.1751552817570623,0.8213082921782353,1.279994,18.83,33.14,67.79,3
1,3.85963729854561,0.2051554679192465,1.7319933173483197,0.6796925677999935,0.5045262604369098,1.715809,3.65,23.45,42.53,3
1,2.6227782327878,0.3458128024921038,1.2193041390973547,0.7385968473452889,0.5193024541327685,1.076433,44.8,122.13,234.23,3
1,1.2857541242304995,0.21204345361290303,1.7171466388682055,1.2954808652398468,0.8005345874743908,1.116453,35.36,62.07,162.61,3
1,1.8888259916036225,0.4255017712482133,1.9577525845083612,1.5966381520141355,1.4274929812144834,1.140868,50.72,76.24,95.4,3
1,2.884884660973955,0.4224040200728332,1.556413710095758,1.2640195716417235,0.9800796006935261,1.175494,33.92,51.4,85.49,3
1,3.8590389709907966,0.4398435102866281,1.878080234841562,1.5685097472182035,1.4349035491236708,1.411217,14.12,20.25,24.19,3
1,1.183108899421876,0.3828407952227586,1.7441699443221024,1.1911643436461576,1.1744170221079826,1.116893,131.95,259.12,264.37,3
1,3.683108899421876,0.20506301744498084,1.7911643436461577,0.575,0.5168972170493752,1.660218,3.72,35.94,44.46,3
2,1.8253882006981677,0.3460704971383525,1.5807432715627379,1.129379676497841,0.7938019607239446,1.066149,55.1,107.97,212.24,3
2,2.754472530620492,0.3620452431083598,1.516806680666247,1.316291399978899,0.8168518731403387,1.196488,28.79,38.21,99.19,3
2,3.3116286640223165,0.22517184966183823,1.7052048839460505,1.2030485656333174,0.6926455489412224,1.587263,5.99,12.25,36.93,3
2,3.8607934277503553,0.4293120975429186,1.7283430526991845,0.575,0.5041523368460195,1.183343,15.87,143.4,184.81,3
2,2.407587891325318,0.3369886715692067,1.2685501843788494,0.8713239641886583,0.6312469370427278,1.086816,46.64,98.85,186.59,3
2,1.8652578831670357,0.40808148929966676,1.9475881818218406,1.6239634850943188,1.5666673952764891,1.157285,48.34,69.51,74.69,3
2,1.288694595675963,0.33239094376918166,1.137607033864053,0.720061202303284,0.6963991493701981,1.123451,194.14,357.34,369.48,3
2,2.951492644554507,0.2319369912500404,1.6605895814558806,1.263954253923303,0.9376457071831984,1.535605,8.58,14.82,26.93,3
2,3.8375199458408624,0.4193068345032242,1.5594315786828052,1.1751552817570623,0.8213082921782353,1.279994,18.83,33.14,67.79,3
2,5.132102960685139,0.33559103658900086,1.817206931691402,1.1583850161745144,0.9150486705504031,1.701698,4.85,12.22,19.58,3
3,5.193207004455612,0.320213863685629,1.7505808161704857,1.0346541882997795,0.982388096189541,1.756311,4.65,13.62,15.11,3
3,5.0869553682356,0.3359835923859259,1.773758349364736,1.2032460114042158,0.8719160549375033,1.677872,5.19,11.55,22.0,3
3,5.6226464873823305,0.3269391881864935,1.8142747484412594,1.5869444271347128,1.4702851207784493,2.209761,3.92,5.03,5.89,3
3,1.9199976998014934,0.36268898732193455,1.758273957054812,1.1997705514897214,0.9791614123477131,1.103894,44.23,94.96,142.71,3
3,2.1230189813925353,0.3624401320092089,1.1075905795462582,0.9563154290598506,0.5580858491625618,1.059574,91.0,122.14,302.79,3
3,1.9981557854831724,0.4126207192756437,1.8953817867745144,1.691002998877839,1.6703700806818609,1.178499,45.48,57.12,58.54,3
3,2.0795048511678687,0.35240808860749784,1.6751481937104693,1.2083807348838178,0.8727267715562894,1.114399,39.22,75.33,144.59,3
3,2.3003025711859184,0.33295864329090186,1.3212756317886143,1.0129664799381064,0.7429102120478134,1.116251,45.98,78.2,145.57,3
3,2.754472530620492,0.3620452431083598,1.516806680666247,1.316291399978899,0.8168518731403387,1.196488,28.79,38.21,99.19,3
3,1.8253882006981677,0.3460704971383525,1.5807432715627379,1.129379676497841,0.7938019607239446,1.066149,55.1,107.97,212.24,3
4,2.155901341960886,0.3632895096887411,1.7628825370638446,1.3843965213947076,1.0003264799513256,1.149813,35.02,56.75,108.73,3
4,1.428765338247589,0.34707760230009055,1.7865859288044064,1.1470511819443787,0.9501928561040849,1.079492,70.81,171.43,236.75,3
4,5.532367399083003,0.33138478165588336,1.8068390605479983,1.6087009043572709,1.4787641218455991,2.158868,4.16,5.19,6.2,3
4,1.9623743520965111,0.42778088357669586,1.8933117766099032,1.6650505133096885,1.6643980225294834,1.167021,50.78,65.65,65.7,3
4,2.0265995715450154,0.41788605666800005,1.7471367484697415,1.6779110101780192,1.634479725402178,1.176106,53.36,57.85,60.96,3
4,2.0923976746589403,0.34892238803004305,1.5526475704450982,1.2544463927605813,0.8074948579782925,1.105872,44.2,67.68,163.38,3
4,2.513597042654544,0.3597036347133967,1.1436068393429755,0.9363545757110843,0.5951825640395689,1.078327,59.97,89.46,214.61,3
4,1.9767364212263252,0.3698190077056992,1.6598882123224914,1.0899992813013641,0.8902220365987792,1.088065,48.67,112.88,168.95,3
4,5.0869553682356,0.3359835923859259,1.773758349364736,1.2032460114042158,0.8719160549375033,1.677872,5.19,11.55,22.0,3
4,5.193207004455612,0.320213863685629,1.7505808161704857,1.0346541882997795,0.982388096189541,1.756311,4.65,13.62,15.11,3
5,2.7066715845764584,0.36590038032960814,1.5976724495786683,1.2265333414889827,0.8173008294220659,1.186015,27.45,46.54,104.82,3
5,2.4114876498390867,0.3436381885867579,1.4935011950669075,1.2868577479409966,0.8120070990390041,1.158941,34.9,46.98,118.02,3
5,2.0473158592162006,0.3647527070790554,1.6258182621403843,1.0363794661814567,0.864888612910701,1.092628,46.01,113.24,162.58,3
5,1.406838898622943,0.35331199301278615,1.8193553729567862,1.2394647639632412,0.8861488240184545,1.068915,72.98,157.42,274.81,3
